iter	Passed	Remaining
748	4949	61134
749	4955	61114
750	4960	61092
751	4967	61083
752	4972	61066
753	4977	61039
754	4984	61039
755	4990	61016
756	4995	60995
757	5001	60985
758	5007	60964
759	5012	60944
760	5019	60935
761	5024	60916
762	5030	60895
763	5035	60879
764	5041	60859
765	5047	60843
766	5052	60816
767	5057	60797
768	5063	60785
769	5069	60763
770	5074	60741
771	5080	60731
772	5087	60723
773	5092	60706
774	5099	60699
775	5104	60675
776	5109	60653
777	5116	60645
778	5121	60621
779	5126	60600
780	5132	60584
781	5137	60564
782	5144	60559
783	5149	60537
784	5154	60513
785	5162	60512
786	5167	60495
787	5172	60472
788	5181	60495
789	5187	60479
790	5193	60468
791	5198	60442
792	5203	60419
793	5210	60416
794	5216	60402
795	5222	60383
796	5227	60367
797	5234	60359
798	5240	60352
799	5245	60326
800	5251	60309
801	5257	60298
802	5263	60279
803	5268	60260
804	5274	60250
805	5281	60240
806	5286	60217
807	5293	60221
808	5299	60205
809	5305	60189
810	5311	60178
811	5316	60154
812	5322	60143
813	5328	60127
814	5333	60106
815	5341	60121
816	5346	60095
817	5351	60067
818	5359	60083
819	5365	60062
820	5372	60063
821	5376	60035
822	5382	60014
823	5389	60018
824	5395	60004
825	5400	59981
826	5406	59968
827	5411	59941
828	5415	59915
829	5423	59914
830	5427	59883
831	5432	59861
832	5438	59845
833	5442	59818
834	5450	59828
835	5455	59804
836	5461	59789
837	5473	59847
838	5483	59873
839	5489	59866
840	5496	59861
841	5504	59870
842	5509	59846
843	5518	59864
844	5523	59848
845	5529	59825
846	5537	59839
847	5543	59823
848	5549	59817
849	5555	59799
850	5561	59794
851	5567	59774
852	5572	59761
853	5578	59747
854	5584	59735
855	5590	59718
856	5596	59708
857	5601	59688
858	5606	59665
859	5613	59658
860	5618	59642
861	5624	59620
862	5630	59611
863	5636	59597
864	5644	59608
865	5650	59594
866	5655	59577
867	5663	59582
868	5669	59568
869	5687	59691
870	5699	59740
871	5705	59723
872	5711	59714
873	5717	59698
874	5724	59700
875	5730	59684
876	5736	59674
877	5742	59664
878	5747	59639
879	5753	59624
880	5759	59614
881	5764	59594
882	5769	59572
883	5776	59566
884	5782	59552
885	5787	59536
886	5793	59519
887	5798	59503
888	5803	59480
889	5810	59475
890	5815	59452
891	5821	59445
892	5827	59425
893	5832	59404
894	5838	59397
895	5843	59375
896	5848	59352
897	5856	59356
898	5861	59336
899	5866	59313
900	5872	59302
901	5877	59278
902	5881	59255
903	5888	59248
904	5893	59227
905	5897	59200
906	5905	59201
907	5909	59174
908	5914	59148
909	5920	59139
910	5925	59115
911	5929	59088
912	5936	59083
913	5940	59055
914	5945	59032
915	5954	59053
916	5959	59030
917	5966	59032
918	5973	59022
919	5979	59012
920	5992	59067
921	6002	59096
922	6010	59106
923	6019	59125
924	6025	59116
925	6034	59133
926	6040	59122
927	6049	59141
928	6056	59133
929	6065	59157
930	6073	59161
931	6081	59175
932	6088	59164
933	6103	59241
934	6108	59222
935	6119	59262
936	6124	59239
937	6139	59312
938	6151	59355
939	6156	59333
940	6166	59362
941	6171	59340
942	6179	59348
943	6184	59325
944	6189	59308
945	6195	59299
946	6200	59274
947	6205	59254
